,year,state_po,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean,compound_lean
18,2004,LA,1102169.0,1943106,820299.0,0.1450615663787771,0.12026672998542504,0.1106797283896321
19,2004,MA,1071109.0,2912388,1803800.0,-0.2515773997145984,-0.2763722361079505,-0.2742453313427935
20,2004,MD,1024703.0,2386678,1334493.0,-0.12979966296249423,-0.1545944993558463,-0.15563161003436907
21,2004,ME,308997.0,686510,364153.0,-0.08034260243842045,-0.10513743883177251,-0.09034813872045322
22,2004,MI,2313746.0,4839252,2479183.0,-0.034186481712463024,-0.058981318105815084,-0.05577895808607644
23,2004,MN,1346451.0,2827850,1444751.0,-0.034761391162897615,-0.059556227556249675,-0.04938487008705568
24,2004,MO,1455713.0,2731364,1259171.0,0.0719574542243363,0.047162617830984244,0.045008674002197255
25,2004,MS,666295.0,1114859,440034.0,0.20295032824778741,0.17815549185443535,0.17718800695795073
26,2004,MT,266063.0,450434,173710.0,0.20503114773751535,0.1802363113441633,0.19915342118960735
27,2004,NC,1961166.0,3501007,1525849.0,0.12434051117292821,0.09954567477957615,0.10802083908894007
28,2004,ND,196651.0,312833,111052.0,0.27362522496028235,0.2488303885669303,0.256918616148698
29,2004,NE,512814.0,778186,254328.0,0.3321648037872693,0.30736996739391725,0.3042986371995261
30,2004,NH,331237.0,677662,340511.0,-0.013685288536172902,-0.03848012492952496,-0.024401912872225304
31,2004,NJ,1668003.0,3609691,1911430.0,-0.06743707425372425,-0.09223191064707631,-0.10746949152454814
32,2004,NM,376930.0,756304,370942.0,0.007917451183651003,-0.016877385209701057,-0.011520540195275722
33,2004,NV,418690.0,829587,397190.0,0.025916510263540804,0.001121673870188744,0.0109978098088543
34,2004,NY,2806993.0,7391036,4180755.0,-0.18586866577297145,-0.2106635021663235,-0.21916414916671897
35,2004,OH,2858727.0,5625631,2739952.0,0.021113187125141986,-0.0036816492682100743,0.007296543990414989
36,2004,OK,959792.0,1463758,503966.0,0.31140803329512123,0.2866131969017692,0.27095262062437814
37,2004,OR,866831.0,1836782,943163.0,-0.0415574629977864,-0.06635229939113846,-0.04957640322031208
38,2004,PA,2793847.0,5765764,2938095.0,-0.025018020161768684,-0.049812856555120744,-0.04649438427591325
39,2004,RI,169046.0,436289,259760.0,-0.20792181329348203,-0.2327166496868341,-0.24593688560377638
40,2004,SC,937974.0,1617730,661699.0,0.17077942549127478,0.14598458909792272,0.15059500185913682
41,2004,SD,232584.0,388215,149244.0,0.21467485800394115,0.1898800216105891,0.2005317385427241
42,2004,TN,1381225.0,2430494,1032910.0,0.14331037229468574,0.11851553590133368,0.0998376521843156
43,2004,TX,4526917.0,7410749,2832704.0,0.22861562306320188,0.20382078666984982,0.20744754754449735
44,2004,UT,663742.0,927844,241199.0,0.45540306344601034,0.4306082270526583,0.4254600763147518
45,2004,VA,1716959.0,3198367,1454742.0,0.08198465029185209,0.05718981389850003,0.06431253959226933
46,2004,VT,121180.0,312309,184067.0,-0.20136147213176697,-0.22615630852511903,-0.19317074833971892
47,2004,WA,1304894.0,2859084,1510201.0,-0.07180866319422585,-0.09660349958757791,-0.08510553868426554
48,2004,WI,1478120.0,2997007,1489504.0,-0.0037984562598619154,-0.028593292653213975,-0.020703755755489328
49,2004,WV,423550.0,755659,326541.0,0.1283766884269228,0.10358185203357073,0.09478313202684635
50,2004,WY,167629.0,243428,70776.0,0.39787123913436423,0.37307640274101217,0.38124146131428865
51,2008,AK,193841.0,326197,123594.0,0.21535145939416983,0.2879162603703494,0.2669840370672002
52,2008,AL,1266546.0,2099819,813479.0,0.2157647873459569,0.28832958832213645,0.27408920073157333
53,2008,AR,638017.0,1086617,422310.0,0.19851244734805362,0.2710772483242332,0.22181730178510245
54,2008,AZ,1230111.0,2293475,1034707.0,0.08519996947862962,0.1577647704548092,0.13830637163581438
55,2008,CA,5011781.0,13561900,8274473.0,-0.24057779514669775,-0.16801299417051818,-0.15715780741449908
56,2008,CO,1073589.0,2401361,1288576.0,-0.08952714731354428,-0.01696234633736471,-0.007237336100602038
57,2008,CT,628041.0,1647085,1000291.0,-0.2260053367008989,-0.15344053572471933,-0.14719518854478303
58,2008,DC,17367.0,265853,245800.0,-0.8592455229017539,-0.7866807219255744,-0.7958195077639647
59,2008,DE,152374.0,412412,255459.0,-0.2499563543252864,-0.17739155334910683,-0.1582271010339627
60,2008,FL,4046212.0,8391639,4282366.0,-0.028141582353578387,0.04442321862260118,0.03963472038016967
61,2008,GA,2048744.0,3925278,1844137.0,0.05212548002969475,0.12469028100587431,0.12885733844016128
62,2008,HI,120429.0,452742,325201.0,-0.45229291737899285,-0.3797281164028133,-0.31270671202388023
63,2008,IA,682379.0,1536820,828940.0,-0.09536640595515422,-0.022801604978974654,-0.021631098279855765
64,2008,ID,403012.0,655032,236440.0,0.254295973326494,0.3268607743026736,0.3342619410833244
65,2008,IL,2031527.0,5523051,3419673.0,-0.25133680641370143,-0.17877200543752186,-0.16612312059940254
66,2008,IN,1345648.0,2751054,1374039.0,-0.010320044608357393,0.062244756367822174,0.09218933410583012
67,2008,KS,699655.0,1235872,514765.0,0.14960287149478269,0.22216767247096225,0.22387926102984085
68,2008,KY,1048462.0,1826508,751985.0,0.16231902625118533,0.2348838272273649,0.21962087175618386
69,2008,LA,1148015.0,1959085,781574.0,0.18704701429493864,0.2596118152711182,0.2247755439496949
70,2008,MA,1108885.0,3081336,1904103.0,-0.2580757178055233,-0.18551091682934373,-0.20822624664899542
71,2008,MD,959862.0,2631596,1629467.0,-0.2544482511753323,-0.18188345019915275,-0.17506121248832612
72,2008,ME,295273.0,731163,421923.0,-0.17321718960067733,-0.10065238862449777,-0.10177365117631645
73,2008,MI,2048639.0,5001766,2872579.0,-0.1647298174284843,-0.09216501645230474,-0.08386909186568232
74,2008,MN,1275409.0,2910369,1573354.0,-0.1023736165414077,-0.02980881556522813,-0.03724566856298352
75,2008,MO,1445814.0,2925205,1441911.0,0.001334265461736872,0.07389906643791644,0.06721495428618339
76,2008,MS,724497.0,1285259,554662.0,0.13214068137239265,0.20470548234857222,0.198067984725038
77,2008,MT,243860.0,496072,232156.0,0.023593349352513338,0.0961581503286929,0.1171776905825605
78,2008,NC,2128474.0,4310789,2142651.0,-0.0032887251034555143,0.06927607587272405,0.07684347559943708
79,2008,ND,168601.0,316621,141278.0,0.0862956026290107,0.15886040360519027,0.18135289984562528
80,2008,NE,452979.0,801281,333319.0,0.1493358759286692,0.22190067690484877,0.24326799952711586
81,2008,NH,316534.0,710970,384826.0,-0.09605468585172378,-0.02348988487554421,-0.027237444889039397
82,2008,NJ,1613207.0,3838498,2215422.0,-0.1568881890781238,-0.08432338810194423,-0.08630051873822725
83,2008,NM,346832.0,830158,472422.0,-0.15128445428460613,-0.07871965330842656,-0.06325908628374519
84,2008,NV,412827.0,967848,533736.0,-0.12492560815334647,-0.0523608071771669,-0.03899018691532799
85,2008,NY,2742298.0,7591233,4769700.0,-0.26707150208668345,-0.1945067011105039,-0.19854590137445877
86,2008,OH,2674491.0,5698048,2933388.0,-0.04543608618249623,0.02712871479368334,0.019426123778209986
87,2008,OK,960165.0,1462661,502496.0,0.31290162245387004,0.3854664234300496,0.3607531167979795
88,2008,OR,738475.0,1827864,1037291.0,-0.16347824564628444,-0.09091344467010487,-0.08477315835036327
89,2008,PA,2649934.0,5977981,3266523.0,-0.10314335224551574,-0.030578551269336174,-0.035387127590782316
90,2008,RI,165391.0,471766,296571.0,-0.27806158137720816,-0.2054967804010286,-0.21230174772247995
91,2008,SC,1034896.0,1920969,862449.0,0.08977083961271626,0.16233564058889582,0.15824787771615256
92,2008,SD,203054.0,377708,170924.0,0.08506571213741831,0.15763051311359788,0.16569289023784567
93,2008,TN,1479178.0,2600124,1087437.0,0.15066242994564877,0.22322723092182833,0.19704930716670466
94,2008,TX,4479328.0,8077795,3528633.0,0.11769239006436782,0.1902571910405474,0.193648089947873
95,2008,UT,596030.0,952370,327670.0,0.28178124048426556,0.3543460414604451,0.37341158785849843
96,2008,VA,1725005.0,3723260,1959532.0,-0.06298969182920344,0.009575109146976124,0.0214787853348571
97,2008,VT,98974.0,325046,219262.0,-0.37006454471059486,-0.2974997437344153,-0.2796638849320912
98,2008,WA,1229216.0,3036878,1750848.0,-0.1717658727153346,-0.09920107173915504,-0.09855167870126076
99,2008,WI,1262393.0,2983417,1677211.0,-0.13904124029594256,-0.06647643931976299,-0.05700565265312574
100,2008,WV,397466.0,713451,303857.0,0.1312059272465803,0.20377072822275988,0.1787235091754626
101,2008,WY,164958.0,256035,82868.0,0.3206202277032437,0.3931850286794233,0.38815787219482056
102,2012,AK,164676.0,300495,122640.0,0.13988918284830032,0.17928203918480573,0.20644059448119162
103,2012,AL,1255925.0,2070353,795696.0,0.22229494197366345,0.26168779831016886,0.26834824581316075
