,year,state_po,candidatevotes_dem,candidatevotes_rep,voteso,totalvotes,raw_lean,adjusted_lean
74,1970.0,RI,392814.0,255444.0,3379.0,651637.0,-0.21080755082967967,-0.07062495679850533
75,1970.0,SC,1510875.0,826276.0,289.0,2337440.0,-0.29288409542063115,-0.15270150138945682
76,1970.0,SD,461433.0,494832.0,1735.0,958000.0,0.03486325678496871,0.17504585081614304
77,1970.0,TN,785398.0,636976.0,64993.0,1487367.0,-0.099788418056875,0.04039417597429934
78,1970.0,TX,6947920.0,2869582.0,0.0,9817502.0,-0.4154150414229607,-0.2752324473917864
79,1970.0,UT,262245.0,268844.0,2860.0,533949.0,0.012358858243015747,0.15254145227419008
80,1970.0,WA,1149470.0,1062154.0,1503.0,2213127.0,-0.03945367798594479,0.10072891604522954
81,1970.0,WV,1155713.0,976783.0,0.0,2132496.0,-0.0839063707505196,0.056276223280654736
82,1970.0,WI,1061530.0,866616.0,8139.0,1936285.0,-0.10066390020064192,0.039518693830532414
83,1970.0,WY,315309.0,360156.0,1688.0,677153.0,0.0662287548013521,0.20641134883252643
84,1971.0,KY,514407.0,394155.0,768.0,909330.0,-0.13224242024347593,0.07433069244753926
85,1971.0,MS,2747114.0,190236.0,221452.0,3158802.0,-0.8094454796470307,-0.6028723669560155
86,1971.0,NJ,4491285.0,4479420.0,496886.0,9467591.0,-0.0012532227046985756,0.20531988998631662
87,1971.0,VA,1775067.0,1043021.0,207110.0,3025198.0,-0.24198283880922838,-0.03540972611821319
88,1972.0,AK,207621.0,235594.0,1704.0,444919.0,0.06287211829568984,0.13676490711078054
89,1972.0,AZ,728499.0,879250.0,10448.0,1618197.0,0.09315985630921331,0.167052645124304
90,1972.0,AR,118765.0,12177.0,65926.0,196868.0,-0.5414186155190279,-0.4675258267039372
91,1972.0,CA,6477818.0,5792386.0,51995.0,12322199.0,-0.05562578562478987,0.018267003190300835
92,1972.0,CO,558343.0,665045.0,24833.0,1248221.0,0.08548325977531224,0.15937604859040294
93,1972.0,CT,1236685.0,1430536.0,1311.0,2668532.0,0.07264331100395277,0.14653609981904347
94,1972.0,DE,212288.0,222732.0,0.0,435020.0,0.024008091581996238,0.09790088039708694
95,1972.0,FL,4630242.0,5017270.0,44295.0,9691807.0,0.039933523232561274,0.11382631204765198
96,1972.0,GA,2059475.0,595905.0,1159.0,2656539.0,-0.5509311175179434,-0.47703832870285273
97,1972.0,HI,340816.0,187527.0,0.0,528343.0,-0.29013160011583383,-0.21623881130074313
98,1972.0,ID,373247.0,446818.0,7177.0,827242.0,0.08893528133242756,0.16282807014751827
99,1972.0,IL,8800839.0,8796822.0,25240.0,17622901.0,-0.0002279420397356957,0.07366484677535501
100,1972.0,IN,1948729.0,2504496.0,0.0,4453225.0,0.12480101499475099,0.1986938038098417
101,1972.0,IA,1107498.0,1190243.0,0.0,2297741.0,0.03601145646963694,0.10990424528472764
102,1972.0,KS,708015.0,915674.0,4526.0,1628215.0,0.12753782516436712,0.20143061397945783
103,1972.0,ME,625886.0,559749.0,6114.0,1191749.0,-0.05549574616802705,0.018397042647063655
104,1972.0,MA,3389612.0,1650166.0,139879.0,5179657.0,-0.33582262300380117,-0.26192983418871046
105,1972.0,MI,1589460.0,1544956.0,14184.0,3148600.0,-0.01413453598424702,0.05975825283084368
106,1972.0,MO,1312649.0,1124829.0,0.0,2437478.0,-0.07705505444561966,-0.00316226563052896
107,1972.0,MT,1199939.0,1012006.0,1523.0,2213468.0,-0.08490432208642723,-0.011011533271336527
108,1972.0,NV,282678.0,222463.0,0.0,505141.0,-0.11920434096618565,-0.04531155215109495
109,1972.0,NH,489779.0,652221.0,1894.0,1143894.0,0.1420079133206399,0.2159007021357306
110,1972.0,NM,342524.0,258555.0,0.0,601079.0,-0.13969711136140178,-0.06580432254631108
111,1972.0,NY,5808509.0,6476292.0,491977.0,12776778.0,0.05226536768502987,0.12615815650012058
112,1972.0,NC,4144646.0,2513251.0,2946.0,6660843.0,-0.24492320266368683,-0.17103041384859613
113,1972.0,ND,518306.0,701511.0,1325.0,1221142.0,0.15002759711810748,0.22392038593319818
114,1972.0,OH,2851592.0,2668741.0,15207.0,5535540.0,-0.03303218836825317,0.040860600446837536
115,1972.0,OK,364247.0,352581.0,1679.0,718507.0,-0.016236445852302106,0.0576563429627886
116,1972.0,OR,694017.0,574874.0,31436.0,1300327.0,-0.09162541422273007,-0.01773262540763937
117,1972.0,PA,3291114.0,3299705.0,0.0,6590819.0,0.00130347988618712,0.07519626870127782
118,1972.0,RI,442884.0,317468.0,6256.0,766608.0,-0.16359860580635732,-0.08970581699126662
119,1972.0,SC,3361548.0,1655403.0,27918.0,5044869.0,-0.3381941136628126,-0.2643013248477219
120,1972.0,SD,760494.0,740659.0,1189.0,1502342.0,-0.013202719487307168,0.060690069327783536
121,1972.0,TN,721616.0,644872.0,23568.0,1390056.0,-0.055209286532341195,0.01868350228274951
122,1972.0,TX,5698554.0,1875455.0,68435.0,7642444.0,-0.5002456020613301,-0.42635281324623936
123,1972.0,UT,409333.0,470730.0,1522.0,881585.0,0.06964388005694294,0.14353666887203365
124,1972.0,WA,1796290.0,1505273.0,5619.0,3307182.0,-0.0879954595785778,-0.01410267076348709
125,1972.0,WV,1889208.0,1651858.0,1873.0,3542939.0,-0.06699240376421944,0.0069003850508712605
126,1972.0,WI,1368173.0,1263341.0,21977.0,2653491.0,-0.039507200137479215,0.03438558867761149
127,1972.0,WY,404056.0,477804.0,1300.0,883160.0,0.08350468771230579,0.1573974765273965
128,1973.0,KY,595379.0,296106.0,729.0,892214.0,-0.33542737504679365,-0.12931756923768967
129,1973.0,NJ,3457504.0,2428853.0,41139.0,5927496.0,-0.17353887712450583,0.032570928684598155
130,1973.0,VA,1356439.0,773661.0,320501.0,2450601.0,-0.23781023512191496,-0.031700429312810974
131,1974.0,AL,887293.0,66387.0,46576.0,1000256.0,-0.8206959018491267,-0.6292810962272961
132,1974.0,AK,174221.0,123727.0,8780.0,306728.0,-0.16462142354137865,0.026793382080451844
133,1974.0,AZ,787514.0,659380.0,1273.0,1448167.0,-0.088480126946685,0.1029346786751455
134,1974.0,AR,76835.0,51391.0,1063.0,129289.0,-0.19679941835732356,-0.005384612735493066
135,1974.0,CA,4979639.0,3479112.0,50885.0,8509636.0,-0.17633268920080725,0.01508211642102325
136,1974.0,CO,636757.0,498890.0,7047.0,1142694.0,-0.12065084790853892,0.07076395771329158
137,1974.0,CT,1229410.0,892634.0,1590.0,2123634.0,-0.1585847655481124,0.03283004007371809
138,1974.0,DE,107018.0,104591.0,1743.0,213352.0,-0.011375567137875464,0.18003923848395503
139,1974.0,FL,2415658.0,2147266.0,73079.0,4636003.0,-0.05789297375346819,0.1335218318683623
140,1974.0,GA,1666013.0,344218.0,7282.0,2017513.0,-0.6551605863258378,-0.46374578070400735
141,1974.0,HI,735754.0,449967.0,0.0,1185721.0,-0.24102381588923527,-0.049609010267404774
142,1974.0,ID,291769.0,380132.0,4695.0,676596.0,0.13059935323294847,0.32201415885477896
143,1974.0,IL,5323435.0,3878049.0,100304.0,9301788.0,-0.15538797487106776,0.03602683075076274
144,1974.0,IN,1969391.0,1619396.0,0.0,3588787.0,-0.09752459535770724,0.09389021026412325
145,1974.0,IA,695863.0,595526.0,0.0,1291389.0,-0.07769696040464957,0.11371784521718092
146,1974.0,KS,352183.0,376390.0,3460.0,732033.0,0.033068181352480075,0.22448298697431057
147,1974.0,ME,572127.0,344239.0,24011.0,940377.0,-0.24233685000802868,-0.050922044386198184
148,1974.0,MD,1961591.0,804142.0,18343.0,2784076.0,-0.41573900999829033,-0.22432420437645983
149,1974.0,MA,2230559.0,794002.0,144947.0,3169508.0,-0.45324290079091145,-0.26182809516908095
150,1974.0,MI,2820810.0,1946880.0,2811.0,4770501.0,-0.18319459528464616,0.008220210337184342
151,1974.0,MN,706597.0,476190.0,23115.0,1205902.0,-0.19106610653270328,0.0003486990891272135
152,1974.0,MO,1009830.0,641222.0,2066.0,1653118.0,-0.2229774281085803,-0.03156262248674979
153,1974.0,MT,262376.0,214439.0,1639.0,478454.0,-0.10019144996175178,0.09122335566007872
154,1974.0,NV,258265.0,153415.0,12052.0,423732.0,-0.24744413922007313,-0.05602933359824264
155,1974.0,NH,335692.0,428570.0,4673.0,768935.0,0.1207878429256049,0.3122026485474354
156,1974.0,NM,208805.0,135562.0,0.0,344367.0,-0.21268878841468553,-0.02127398279285503
157,1974.0,NY,4849952.0,4397938.0,248768.0,9496658.0,-0.04759716523433827,0.14381764038749223
158,1974.0,NC,3349818.0,1554820.0,4267.0,4908905.0,-0.36566158848052666,-0.17424678285869616
159,1974.0,ND,510461.0,524176.0,0.0,1034637.0,0.013255856885071804,0.2046706625069023
160,1974.0,OH,2352572.0,1919486.0,44835.0,4316893.0,-0.10032354288141959,0.0910912627404109
161,1974.0,OK,272457.0,256915.0,0.0,529372.0,-0.029359316321981466,0.16205548929984903
162,1974.0,OR,612487.0,444813.0,20745.0,1078045.0,-0.1555352513114016,0.035879554310428885
163,1974.0,PA,2851825.0,2181297.0,10907.0,5044029.0,-0.13293500096847183,0.05847980465335867
164,1974.0,RI,408820.0,173162.0,5248.0,587230.0,-0.4013044292696218,-0.2098896236477913
165,1974.0,SC,370688.0,107293.0,6187.0,484168.0,-0.544015713553973,-0.35260090793214255
166,1974.0,SD,671854.0,657437.0,3644.0,1332935.0,-0.010815981274405695,0.1805988243474248
167,1974.0,TN,786666.0,493121.0,46417.0,1326204.0,-0.2213422671021955,-0.029927461480365014
168,1974.0,TX,2413425.0,690033.0,23739.0,3127197.0,-0.5510979960648466,-0.35968319044301605
169,1974.0,UT,295509.0,274588.0,15182.0,585279.0,-0.035745345382287796,0.1556694602395427
170,1974.0,WA,1275505.0,975600.0,16484.0,2267589.0,-0.13225721239607346,0.05915759322575703
171,1974.0,WV,1374626.0,821153.0,4355.0,2200134.0,-0.25156331387088243,-0.060148508249051935
172,1974.0,WI,983950.0,692670.0,13695.0,1690315.0,-0.17232291022679203,0.019091895395038472
173,1974.0,WY,353112.0,364540.0,4695.0,722347.0,0.015820651293630306,0.2072354569154608
174,1975.0,KY,569767.0,291771.0,0.0,861538.0,-0.3226741014325543,0.02082137158444941
175,1975.0,MS,1704586.0,159972.0,46791.0,1911349.0,-0.8081276627136122,-0.4646321896966085
176,1975.0,NJ,1904126.0,1658553.0,46218.0,3608897.0,-0.06804655272788329,0.27544892028912044
177,1975.0,VA,1852436.0,778500.0,134763.0,2765699.0,-0.38830545189480126,-0.04480997887779753
178,1976.0,AK,178533.0,164677.0,14062.0,357272.0,-0.03878277614814485,0.13428234604211686
