party,,,,D,R,R,R,D,D,R,D,D,R,D,R,R,R,R,D,D,D,R,R,D,R,R,R,R,D,R,D,R,R,D,R,R,D,R,R,D,D,R,R,D,D,R,R,R,R,R,D,R,R,R,D,R,I,D,D,D,D,R,D,D,D,D,D,D,R,R,R,R,R,D,R,D,D,D,D,D,D,D,R,D,D,R,D,D,R,R,R,R,R,D,R,R,R,R,R,R,R,R,D
109,Senate,1,16,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Not Voting,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Not Voting,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
109,Senate,1,17,Yes,No,No,No,Yes,Yes,No,Not Voting,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Not Voting,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
109,Senate,1,18,Yes,No,No,No,No,Yes,No,Not Voting,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Not Voting,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
109,Senate,1,19,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,No,No,No,No,No,Yes,No,No,Yes,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
109,Senate,1,20,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Not Voting,Yes,No,No,No,No,No,Yes,No,No,No,Not Voting,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
109,Senate,1,21,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,No,No,Yes,No,No,No,Not Voting,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
109,Senate,1,22,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,No,No,Yes,No,No,No,Not Voting,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
109,Senate,1,23,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Not Voting,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,No,No,Yes,No,No,Not Voting,Not Voting,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
109,Senate,1,24,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Not Voting,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Not Voting,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,No,No,Yes,No,No,Not Voting,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not Voting,Yes,No,No,No,No,No,No,No,No,Yes
109,Senate,1,25,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Not Voting,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,No,No,Yes,No,No,Not Voting,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Voting,Yes,No,No,No,No,No,No,No,No,Yes
