,current_party,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
W000288,,,2002-10-25,Paul,False,Wellstone,W000288,D.,Paul D. Wellstone,D,1991-01-03,MN
B001237,,,2003-01-03,Dean,False,Barkley,B001237,,Dean Barkley,I,2002-11-05,MN
A000355,,,2001-01-03,Spencer,False,Abraham,A000355,,Spencer Abraham,R,1995-01-04,MI
A000356,,,2001-01-03,John,False,Ashcroft,A000356,,John Ashcroft,R,1995-01-04,MO
B000993,,,2001-01-03,Richard,False,Bryan,B000993,H.,Richard H. Bryan,D,1989-01-03,NV
C000813,,,2000-07-18,Paul,False,Coverdell,C000813,,Paul Coverdell,R,1993-01-05,GA
G000333,,,2001-01-03,Slade,False,Gorton,G000333,,Slade Gorton,R,1981-01-05,WA
G000367,,,2001-01-03,Rod,False,Grams,G000367,,Rod Grams,R,1995-01-04,MN
K000146,,,2001-01-03,J. Robert,False,Kerrey,K000146,,J. Robert Kerrey,D,1989-01-03,NE
M000019,,,2001-01-03,Connie,False,Mack,M000019,,Connie Mack,R,1989-01-03,FL
M001054,,,2001-01-03,Daniel,False,Moynihan,M001054,Patrick,Daniel Patrick Moynihan,D,1977-01-04,NY
R000295,,,2001-01-03,Charles,False,Robb,R000295,S.,Charles S. Robb,D,1989-01-03,VA
R000460,,,2001-01-03,William,False,Roth,R000460,V.,William V. Roth Jr.,R,1969-01-03,DE
C000269,,,1999-10-24,John,False,Chafee,C000269,H.,John H. Chafee,R,1975-01-14,RI
